0.2527465,-0.04134002,1.23842
0.2519199,-0.04083953,1.233927
0.251411,-0.03983004,1.231172
0.2511107,-0.03935958,1.229793
0.249256,-0.03489883,1.222914
0.2475184,-0.03061136,1.216706
0.2456813,-0.02691004,1.210982
0.2426642,-0.02310186,1.203768
0.2384084,-0.01833133,1.196108
0.2337007,-0.01430279,1.188407
0.2289895,-0.00966727,1.184354
0.2088995,0.006511215,1.167868
0.2061241,0.008587124,1.165492
0.1956092,0.01451013,1.153931
0.187911,0.01826426,1.145772
0.1703168,0.02518773,1.125973
0.1648111,0.02681958,1.119493
0.151156,0.03067595,1.102097
0.1464315,0.03215533,1.096867
0.1324229,0.03526775,1.076215
0.1306741,0.03570209,1.073266
0.1264905,0.03681237,1.065796
0.1234752,0.03774354,1.060416
0.1209599,0.03875638,1.056061
0.1186675,0.03953933,1.051836
0.1163547,0.04026278,1.048296
0.1145333,0.04102276,1.045428
0.1125978,0.04048338,1.040367
0.1131257,0.038671,1.038832
0.1160647,0.03683866,1.043451
0.1179929,0.03550518,1.046447
0.119556,0.03448151,1.04911
0.1211496,0.03339396,1.05276
0.1217946,0.03135693,1.054302
0.122694,0.03099152,1.057344
0.1233658,0.03075843,1.060299
0.1238246,0.03051858,1.062585
0.1241592,0.03023813,1.064737
0.1244366,0.03004941,1.066807
0.1245269,0.02623552,1.072993
0.1244018,0.02454134,1.076728
0.1245681,0.02303751,1.081009
0.124509,0.02208697,1.083554
0.1244861,0.02100054,1.086741
0.1251761,0.0197958,1.093995
0.1253847,0.0210338,1.093033
0.1254697,0.02197773,1.092349
0.1255026,0.02253489,1.092142
0.1254606,0.02301176,1.092019
0.1254042,0.02344105,1.092002
0.1238721,0.02116898,1.107052
0.1230962,0.02111397,1.110068
0.1224479,0.02110501,1.112563
0.1218029,0.02105559,1.114442
0.1210888,0.02130009,1.115877
0.1204563,0.02133965,1.116875
0.1196424,0.0214218,1.118045
0.1189113,0.02136197,1.119249
0.11817,0.0215062,1.120154
0.1172127,0.02158489,1.121028
0.1161559,0.02176007,1.121952
0.1036853,0.02427669,1.130448
0.09951884,0.02627189,1.132687
0.09587537,0.02786299,1.135021
0.09737302,0.0278895,1.134334
0.08912492,0.03213158,1.13933
0.0857913,0.03374686,1.141505
0.08273016,0.03548999,1.14389
0.0750959,0.03742811,1.148198
0.06460312,0.04082019,1.154049
0.05481848,0.04329775,1.157699
0.04969171,0.04516456,1.15881
