shimmerLocal_sma;logHNR_sma;pcm_RMSenergy_sma
4.794047e-002;1.669202e+001;4.382191e-003
3.640173e-002;1.468667e+001;4.088468e-003
7.221789e-002;1.238421e+001;3.791044e-003
1.221654e-001;1.184382e+001;3.555544e-003
1.575281e-001;9.524021e+000;3.226076e-003
1.682879e-001;9.113534e+000;2.793628e-003
1.790477e-001;4.481413e+000;2.145832e-003
2.629521e-001;3.167080e+000;1.588733e-003
2.341470e-001;5.192573e+000;2.355617e-003
1.936791e-001;9.907552e+000;3.256951e-003
1.260724e-001;1.302813e+001;4.103635e-003
1.828660e-001;1.016570e+001;3.398768e-003
4.338903e-001;8.023521e+000;3.189745e-003
4.490936e-001;7.409734e+000;3.500834e-003
4.274097e-001;6.605194e+000;4.446466e-003
1.676476e-001;9.574958e+000;4.865726e-003
1.016565e-001;1.270555e+001;4.687625e-003
7.849195e-002;1.535931e+001;4.206800e-003
7.123669e-002;1.417364e+001;3.846521e-003
9.348366e-002;1.078023e+001;3.737618e-003
7.290405e-002;7.003300e+000;3.810392e-003
9.169640e-002;5.828101e+000;4.138395e-003
9.186896e-002;6.841493e+000;4.555436e-003
9.204151e-002;6.841493e+000;5.059732e-003
9.278942e-002;8.302527e+000;5.393412e-003
6.325073e-002;9.293634e+000;5.584199e-003
6.201865e-002;1.319139e+001;5.542487e-003
5.234892e-002;1.390355e+001;5.375061e-003
8.735690e-002;1.280153e+001;5.064883e-003
8.178922e-002;1.268073e+001;4.787736e-003
6.512820e-002;1.090541e+001;4.594849e-003
6.204327e-002;1.186969e+001;4.581378e-003
5.008459e-002;1.319476e+001;4.624623e-003
5.703121e-002;1.575986e+001;4.704888e-003
2.438208e-002;1.650519e+001;4.808165e-003
1.287803e-002;1.719443e+001;4.685327e-003
1.838439e-002;1.548583e+001;4.267335e-003
6.757023e-002;1.238784e+001;3.475071e-003
1.167538e-001;8.926094e+000;2.807190e-003
1.107195e-001;6.678826e+000;2.339944e-003
1.147703e-001;7.131032e+000;2.190778e-003
1.188211e-001;8.379182e+000;1.995204e-003
1.613588e-001;8.239212e+000;1.638229e-003
1.978951e-001;8.974621e+000;1.298205e-003
2.478126e-001;6.953259e+000;2.406915e-003
2.977300e-001;8.143165e+000;4.080186e-003
2.276576e-001;9.569409e+000;5.704978e-003
1.455374e-001;1.289381e+001;5.826877e-003
7.042225e-002;1.566265e+001;5.500399e-003
7.032105e-002;1.668363e+001;5.140190e-003
5.397078e-002;1.647611e+001;4.868085e-003
3.061546e-002;1.555529e+001;4.638550e-003
2.123583e-002;1.503951e+001;4.413944e-003
2.677186e-002;1.622404e+001;4.185976e-003
2.594688e-002;1.799100e+001;3.971792e-003
4.129291e-002;1.925235e+001;3.825054e-003
4.472330e-002;2.015450e+001;3.781610e-003
4.639515e-002;1.831022e+001;3.814448e-003
3.114839e-002;1.799286e+001;3.880848e-003
3.597541e-002;1.581777e+001;3.937492e-003
4.398502e-002;1.539684e+001;3.858431e-003
6.904460e-002;1.370220e+001;3.627267e-003
1.080195e-001;1.387312e+001;3.384040e-003
1.205563e-001;1.327071e+001;3.287247e-003
9.488452e-002;1.613409e+001;3.286923e-003
4.713930e-002;1.392427e+001;3.277928e-003
3.883558e-002;1.594123e+001;3.211688e-003
7.210723e-002;1.038084e+001;3.193472e-003
1.023572e-001;1.290437e+001;3.184618e-003
1.243570e-001;1.052469e+001;3.216559e-003
1.001964e-001;1.274364e+001;3.287439e-003
7.905763e-002;1.148159e+001;3.420702e-003
5.918749e-002;1.427644e+001;3.505962e-003
5.678966e-002;1.635180e+001;3.553584e-003
4.063498e-002;1.951569e+001;3.544312e-003
2.983320e-002;1.947808e+001;3.617147e-003
1.658790e-002;1.789794e+001;3.775110e-003
2.232360e-002;1.586367e+001;3.942737e-003
5.308765e-002;1.524623e+001;4.032440e-003
5.118520e-002;1.438108e+001;4.006132e-003
4.587964e-002;1.417834e+001;3.947570e-003
5.458088e-002;1.306216e+001;3.918473e-003
1.018748e-001;1.550750e+001;3.870944e-003
1.119328e-001;1.832845e+001;3.918774e-003
7.744799e-002;1.973166e+001;3.976524e-003
4.341219e-002;1.911239e+001;4.033605e-003
4.479139e-002;1.665721e+001;3.954844e-003
4.524036e-002;1.553771e+001;3.869833e-003
4.813156e-002;1.411628e+001;3.779121e-003
4.648304e-002;1.305127e+001;3.749989e-003
3.559139e-002;1.363569e+001;3.694156e-003
4.096929e-002;1.506299e+001;3.622049e-003
6.736246e-002;1.680988e+001;3.361427e-003
1.130065e-001;1.331368e+001;2.759000e-003
1.673400e-001;9.755734e+000;2.043940e-003
2.174509e-001;6.523468e+000;1.415389e-003
2.935444e-001;2.381560e+000;1.134968e-003
3.804708e-001;-1.367596e+000;1.447580e-003
3.656071e-001;-5.020557e+000;2.277320e-003
3.147534e-001;1.967883e+000;3.462602e-003
2.252166e-001;3.762114e+000;4.209317e-003
1.613384e-001;1.113191e+001;4.471248e-003
8.866864e-002;1.308977e+001;4.276321e-003
2.681085e-002;1.814702e+001;4.044037e-003
5.082156e-002;1.624898e+001;3.875189e-003
1.291907e-001;1.309246e+001;3.835596e-003
1.941258e-001;1.119857e+001;3.825962e-003
2.370706e-001;1.148985e+001;3.748727e-003
1.606511e-001;1.167943e+001;3.568114e-003
8.685376e-002;1.441758e+001;3.418893e-003
7.777504e-002;1.496089e+001;3.386602e-003
9.540927e-002;1.527701e+001;3.432466e-003
1.638446e-001;1.315891e+001;3.461960e-003
1.104769e-001;1.147042e+001;3.284526e-003
1.438306e-001;1.001921e+001;3.068458e-003
1.304608e-001;1.234825e+001;2.831498e-003
1.741755e-001;1.069110e+001;2.734642e-003
1.782531e-001;8.646385e+000;2.624317e-003
1.782531e-001;2.533935e+000;2.369244e-003
1.782531e-001;6.765561e-001;2.088008e-003
1.747795e-001;4.007853e+000;2.436084e-003
1.713058e-001;4.007853e+000;3.422400e-003
1.528269e-001;9.129582e+000;4.754119e-003
1.378216e-001;5.121729e+000;5.679047e-003
1.023757e-001;1.063335e+001;6.182140e-003
7.553282e-002;1.152657e+001;6.402263e-003
6.221507e-002;1.700553e+001;6.484312e-003
5.021723e-002;1.706383e+001;6.487189e-003
4.637058e-002;1.607760e+001;6.361673e-003
3.759772e-002;1.665102e+001;6.105735e-003
3.997965e-002;1.669652e+001;5.832590e-003
3.613690e-002;1.835358e+001;5.601918e-003
2.892957e-002;1.763660e+001;5.349263e-003
4.593904e-002;1.739633e+001;5.198711e-003
4.813144e-002;1.598486e+001;5.180814e-003
4.371357e-002;1.466315e+001;5.309048e-003
2.295743e-002;1.399781e+001;5.292923e-003
2.149411e-002;1.265836e+001;5.385123e-003
2.981178e-002;1.289679e+001;5.466609e-003
5.121241e-002;1.348507e+001;5.612617e-003
4.568148e-002;1.687818e+001;5.446800e-003
3.710603e-002;1.962077e+001;5.309613e-003
2.371507e-002;1.838497e+001;5.160995e-003
3.725569e-002;1.647509e+001;5.122859e-003
3.889265e-002;1.491454e+001;4.986878e-003
2.592606e-002;1.660933e+001;4.633343e-003
2.226865e-002;1.460190e+001;4.180817e-003
2.515436e-002;9.167751e+000;3.500083e-003
3.446355e-002;3.410671e+000;2.976517e-003
1.073295e-001;-2.850172e-001;2.472772e-003
2.227406e-001;1.546133e+000;2.440350e-003
3.381518e-001;2.870346e+000;2.570686e-003
3.133831e-001;5.439255e+000;2.517893e-003
2.933164e-001;4.732173e+000;2.007917e-003
2.223813e-001;7.586594e+000;3.391156e-003
1.716278e-001;7.281956e+000;4.987161e-003
7.632359e-002;1.148975e+001;6.948173e-003
7.474533e-002;1.371080e+001;6.934013e-003
9.400406e-002;1.764432e+001;7.044979e-003
9.526799e-002;1.879849e+001;6.887637e-003
5.162238e-002;1.932467e+001;6.667382e-003
4.322615e-002;1.949068e+001;6.495271e-003
3.747019e-002;1.819768e+001;6.368799e-003
3.865473e-002;1.707319e+001;6.057160e-003
2.983586e-002;1.638131e+001;5.412491e-003
2.732355e-002;1.733688e+001;4.888598e-003
1.992274e-002;1.775709e+001;4.601288e-003
1.855694e-002;1.744929e+001;4.555512e-003
3.098807e-002;1.699145e+001;4.473236e-003
5.077932e-002;1.619320e+001;4.332336e-003
4.682189e-002;1.677966e+001;4.072010e-003
7.329461e-002;1.618209e+001;3.651733e-003
9.240720e-002;1.075874e+001;2.977703e-003
1.302828e-001;5.093183e+000;2.192336e-003
1.302828e-001;0;1.627965e-003
1.586273e-001;-8.123457e-001;1.463429e-003
1.680208e-001;1.633540e+000;1.621042e-003
3.003089e-001;3.247475e+000;1.810572e-003
2.871983e-001;4.951553e+000;1.922069e-003
3.421263e-001;5.490357e+000;2.769419e-003
3.170074e-001;4.103090e+000;3.954113e-003
4.089428e-001;3.211357e+000;5.171471e-003
3.208730e-001;6.458328e+000;5.520331e-003
1.874821e-001;1.441133e+001;5.399123e-003
6.512886e-002;2.047225e+001;5.236659e-003
5.107079e-002;2.023245e+001;5.114959e-003
4.574362e-002;1.870604e+001;5.008821e-003
3.661283e-002;1.887863e+001;4.867379e-003
4.571304e-002;1.892368e+001;4.686747e-003
4.107369e-002;1.737789e+001;4.568534e-003
2.805354e-002;1.693411e+001;4.527343e-003
6.649827e-002;1.639328e+001;4.408183e-003
9.774417e-002;1.563780e+001;4.239986e-003
1.129900e-001;1.508117e+001;4.091799e-003
7.356580e-002;1.487483e+001;3.926988e-003
7.369041e-002;1.430288e+001;3.029481e-003
1.070783e-001;9.379211e+000;2.042503e-003
2.071089e-001;5.270969e+000;1.197096e-003
2.335694e-001;4.860216e+000;1.322312e-003
2.349083e-001;4.729065e+000;1.418468e-003
1.695743e-001;6.649925e+000;1.545117e-003
1.729722e-001;3.166968e+000;1.439583e-003
1.923140e-001;2.964049e+000;1.564479e-003
1.832130e-001;3.394683e+000;1.696029e-003
1.884042e-001;8.025268e+000;2.013469e-003
1.765224e-001;1.182159e+001;2.100426e-003
1.936366e-001;1.181275e+001;2.046678e-003
1.812254e-001;7.776789e+000;1.635230e-003
1.709933e-001;6.327385e+000;1.277677e-003
1.638567e-001;1.181467e+000;1.005312e-003
1.680326e-001;3.423391e+000;9.059037e-004
1.723527e-001;2.656280e-001;8.191271e-004
2.228380e-001;4.756886e+000;7.302488e-004
2.248739e-001;2.407203e+000;6.320619e-004
2.513558e-001;2.776931e+000;6.030501e-004
1.906126e-001;1.351850e+000;7.284822e-004
2.276070e-001;3.042303e+000;1.165282e-003
3.442288e-001;5.631135e+000;1.251447e-003
3.508996e-001;4.894605e+000;1.185811e-003
3.050530e-001;5.005978e+000;1.018743e-003
1.660504e-001;3.217267e+000;1.143890e-003
1.820366e-001;5.616928e+000;1.346158e-003
